RegionName,RegionType,StateName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
"Dayton, OH",Msa,OH,105655.42,102445.08,99835.58,98511.33,104398.00,104987.42,109476.17,115602.00,124420.92,132015.67,
"McAllen, TX",Msa,TX,81889.33,82863.58,83038.08,87600.25,92948.08,96665.75,101652.83,106145.75,111145.50,116891.33,
"Columbia, SC",Msa,SC,147275.25,141491.33,135809.08,133743.50,135541.25,136821.83,141729.42,147786.83,152863.67,159846.00,
"Greensboro, NC",Msa,NC,129657.67,123904.00,119669.17,121224.58,123279.83,125472.08,128177.25,134644.42,141678.08,150875.67,
"Akron, OH",Msa,OH,128929.00,121964.08,116691.33,120387.50,122219.00,124594.08,128952.00,136269.17,143723.00,151162.42,
"North Port-Sarasota-Bradenton, FL",Msa,FL,183322.33,171415.83,173122.33,194252.92,214516.75,233463.50,253155.17,263722.75,271869.75,278694.67,
"Little Rock, AR",Msa,AR,140242.17,136537.75,136623.08,138428.42,138685.75,140338.00,142269.92,144556.50,148607.42,152028.42,
"Stockton, CA",Msa,CA,183507.42,170225.92,168938.17,209189.67,260028.92,274471.92,299614.00,328544.50,360808.67,374101.83,
"Charleston, SC",Msa,SC,204689.33,187717.58,186459.50,198545.17,211719.00,223376.33,236058.75,250485.17,265942.50,274625.00,
"Syracuse, NY",Msa,NY,126254.42,123439.42,122233.25,124641.42,125240.58,125609.50,126171.33,130439.33,138393.58,142871.42,
"Colorado Springs, CO",Msa,CO,212294.92,202508.58,203996.33,213820.83,220762.75,231216.17,247432.67,270157.58,293600.67,312366.67,
"Winston-Salem, NC",Msa,NC,132311.83,127295.58,123896.67,123808.75,126314.33,128068.58,131360.00,137865.92,145712.08,154765.67,
"Wichita, KS",Msa,KS,121637.33,117178.33,115533.42,116068.83,117575.42,121648.25,125162.92,130069.25,134800.00,141304.67,
"Springfield, MA",Msa,MA,211376.92,201549.25,195375.42,198166.08,201955.67,203930.00,207879.00,215184.50,226506.50,232764.83,
"Fort Myers, FL",Msa,FL,147728.67,142816.33,149655.92,168102.50,185973.08,205367.42,223885.50,232024.33,239739.33,243617.75,
"Boise City, ID",Msa,ID,157255.83,138924.25,148585.50,177248.42,189291.17,198603.08,214406.83,233625.83,265704.58,299934.67,
"Toledo, OH",Msa,OH,106940.25,100355.92,97296.42,96798.25,97860.67,101837.00,106475.58,110286.25,116273.08,121419.00,
"Madison, WI",Msa,WI,214299.75,206491.67,202638.92,208499.58,216995.83,224632.50,235811.00,252512.17,267005.33,278938.58,
"Lakeland, FL",Msa,FL,123644.25,106243.58,105437.75,116813.75,131234.50,140056.25,150852.17,164083.00,179085.83,191055.17,
"Ogden, UT",Msa,UT,201853.42,188986.92,188502.42,204138.83,214148.00,223714.58,244187.83,268135.67,295673.67,320304.33,
"Daytona Beach, FL",Msa,FL,140831.50,126788.00,122974.25,137388.92,152895.17,160852.42,173566.50,191405.08,206860.92,218719.92,
"Des Moines, IA",Msa,IA,158109.75,151833.33,151769.92,158722.75,162498.00,168247.67,178241.17,186833.00,196170.17,203001.92,
"Jackson, MS",Msa,MS,127852.58,123802.75,121774.33,121473.33,120530.17,127383.67,129578.33,133673.92,137542.50,142031.50,
"Youngstown, OH",Msa,OH,87009.25,82828.58,80735.00,81419.75,80932.25,82094.00,84563.42,89773.00,94750.83,98683.42,
"Augusta, GA",Msa,GA,131169.08,125482.92,121381.33,123595.42,125934.58,129529.83,134374.58,137365.50,146929.75,153903.67,
"Scranton, PA",Msa,PA,115570.08,112204.33,106599.00,107269.17,107180.67,107268.42,107476.42,108451.67,114570.00,118360.83,
"Harrisburg, PA",Msa,PA,172964.17,167362.50,164653.00,165670.67,168278.33,169007.00,172012.42,178584.08,184610.33,190727.08,
"Melbourne, FL",Msa,FL,135486.50,120177.25,120585.58,133116.33,148013.83,161658.08,180383.83,199083.58,214506.83,223897.00,
